First Name,Last Name,Date of Birth,Salary,KPI,Experience,Level,Position
Katherine,Carney,1999-08-09,72179,100,12,Senior,HR Manager
David,Evans,1972-08-11,52517,96,1,Senior,Sales Executive
Charles,Coleman,1973-01-26,65140,87,18,Senior,Data Analyst
Mary,Fletcher,1979-08-30,75868,95,18,Mid,Software Engineer
Ryan,Acevedo,1975-07-05,95038,86,4,Senior,Sales Executive
Amy,Young,1985-08-26,94292,79,10,Junior,HR Manager
Andrew,Roman,1980-05-04,62914,60,16,Junior,Data Analyst
Curtis,Hunter,1995-12-26,74066,89,12,Mid,HR Manager
Susan,Howe,1996-03-26,60365,66,14,Junior,Sales Executive
Wendy,Duarte,1999-08-01,60430,88,2,Mid,Software Engineer
Meagan,Stephens,1996-02-29,97703,75,9,Junior,Data Analyst
David,Rivera,1968-04-15,80441,69,12,Mid,Sales Executive
Laura,Smith,1975-11-16,71205,94,19,Mid,Software Engineer
Elizabeth,Keller,1993-12-20,85673,89,15,Junior,HR Manager
James,Rodriguez,1969-07-22,80133,60,13,Senior,Data Analyst
Aaron,Ruiz,1971-06-05,82506,87,17,Senior,Data Analyst
Ashley,Hill,1982-06-19,68790,69,11,Mid,Marketing Specialist
Heather,Miller,1997-08-09,78485,78,15,Junior,Project Manager
Michael,Hernandez,1976-06-09,71142,84,3,Junior,Software Engineer
Carrie,Rivera,1981-12-17,53546,86,20,Mid,Data Analyst
Jesse,Hernandez,1966-05-31,77186,74,15,Mid,Data Analyst
Frank,Wells,1982-11-03,55314,72,14,Junior,Software Engineer
Kathryn,Flynn,1970-04-25,71009,81,6,Senior,Software Engineer
Kaitlyn,Baker,1970-08-24,78098,77,4,Junior,Project Manager
Jasmine,Wright,1999-09-11,55564,95,18,Junior,Marketing Specialist
Andrea,Dorsey,1994-10-28,73215,91,4,Mid,Sales Executive
Cynthia,Quinn,1994-12-14,79046,97,17,Mid,Software Engineer
Julie,Johnston,1967-08-31,98795,78,5,Junior,HR Manager
Steven,Smith,1997-05-11,84922,64,1,Senior,Data Analyst
Stephen,Barron,1979-03-02,50900,100,18,Senior,Software Engineer
Vanessa,Moran,1994-07-24,89028,91,13,Junior,Sales Executive
Nicholas,Henderson,1967-11-28,87028,84,17,Senior,Marketing Specialist
Travis,Bullock,1971-12-24,82959,82,11,Mid,Software Engineer
Linda,Jackson,1994-05-10,67351,73,18,Mid,Software Engineer
Justin,Khan,1998-09-25,66620,63,1,Junior,Project Manager
Chad,Valencia,1981-04-24,61798,61,15,Mid,Sales Executive
Carol,Richmond,1987-05-25,80339,68,10,Senior,HR Manager
Thomas,Thompson,1985-09-17,76589,95,15,Senior,Sales Executive
Julie,Jones,1975-10-19,57785,81,15,Senior,Data Analyst
Brandon,Torres,1982-05-30,60914,66,17,Junior,Sales Executive
David,Smith,1978-11-27,75741,60,17,Mid,Software Engineer
Laura,Owens,1995-10-05,77093,91,14,Mid,HR Manager
Laura,Gallagher,1996-09-25,57600,66,20,Senior,Data Analyst
Caleb,Suarez,1987-10-30,69304,63,20,Junior,Software Engineer
Jessica,Wright,1970-01-24,66579,65,1,Senior,Project Manager
William,Wood,1994-05-16,57673,94,20,Senior,Marketing Specialist
Rachel,Johnson,1970-09-25,69113,85,6,Mid,HR Manager
Rachel,Hayes,1971-02-13,99020,96,15,Mid,Marketing Specialist
Michael,White,1984-01-25,79198,65,2,Mid,Marketing Specialist
Michael,Mann,1993-06-15,84249,93,8,Junior,Data Analyst
Mark,Schultz,1965-09-10,58442,72,4,Junior,Sales Executive
Emily,Ferrell,1988-02-13,52023,69,7,Senior,HR Manager
Wendy,Conrad,1967-05-29,56857,84,5,Senior,Software Engineer
Felicia,Smith,1965-08-03,77385,62,13,Senior,Software Engineer
